Start Date,Sport,Id,League Id,Title,Entry Id,Status,Entry Fee,Winnings,Points,Rank,Entry Count,Entry Limit
10/25/2024,NBA,14240139,,NBA $2 10-Team 50/50 [No Veterans],221170758,resolved,$2.00,$3.60,303.40,1,9,10
10/25/2024,NBA,14240126,,NBA Free 50-Team Group,221146829,resolved,$0.00,$0.00,232.80,30,50,50
10/26/2024,NBA,14243517,,NBA $1 10-Team 50/50 [Rookie Only],221191464,resolved,$1.00,$1.80,260.10,2,3,10
10/27/2024,NBA,14246819,,NBA $1 10-Team 50/50 [Rookie Only],221260790,resolved,$1.00,$1.80,302.60,1,4,10
10/28/2024,NBA,14251530,,NBA $1 10-Team 50/50 [Rookie Only],221307772,resolved,$1.00,$1.80,246.20,3,7,10
10/29/2024,NBA,14259259,,NBA Free 50-Team Group,221426799,resolved,$0.00,$0.00,227.40,24,50,50
10/29/2024,NBA,14255365,,NBA $1 10-Team 50/50 [Rookie Only],221416693,resolved,$1.00,$1.80,246.90,3,5,10
10/30/2024,NBA,14260816,,NBA $1 10-Team 50/50 [Rookie Only],221457498,resolved,$1.00,$1.80,338.80,1,7,10
10/31/2024,NBA,14260888,,NBA $1 10-Team 50/50 [Rookie Only],221462495,resolved,$1.00,$1.80,233.10,4,4,10
10/31/2024,NBA,14262390,,NBA Free 50-Team Group,221462498,resolved,$0.00,$0.00,233.10,23,50,50
10/31/2024,NBA,14263094,,NBA Free 10-Team Winner Takes All,221462502,resolved,$0.00,$0.00,233.10,7,10,10
