Id	Entry Id	Start Date	Description	Notes
14240139	221170758	10/25/2024	self-picked	
14240126	221146829	10/25/2024	dailyfantasynerd	
14243517	221191464	10/26/2024	dailyfantasynerd	
14246819	221260790	10/27/2024	dailyfantasynerd	
14251530	221307772	10/28/2024	dailyfantasynerd	
14259259	221426799	10/29/2024	self-picked	
14255365	221416693	10/29/2024	dailyfantasynerd	
14260816	221457498	10/30/2024	dailyfantasynerd	
14260888	221462495	10/31/2024	self-picked	
14262390	221462498	10/31/2024	self-picked	
14263094	221462502	10/31/2024	self-picked	
14265422	221486954		self-picked	
