,RK,SEASON,TEAM,CONF,DIV,W,L,W/L%,MOV,ORTG,DRTG,NRTG,MOV/A,ORTG/A,DRTG/A,NRTG/A
0,1,2024-25,GSW,W,P,7,1,0.875,15.88,120.35,104.75,15.6,14.64,120.07,105.67,14.39
1,2,2024-25,OKC,W,NW,7,1,0.875,15.0,110.97,96.34,14.63,13.89,110.55,96.9,13.65
2,3,2024-25,BOS,E,A,7,2,0.778,11.78,122.42,110.49,11.93,10.78,121.2,110.32,10.88
3,4,2024-25,HOU,W,SW,5,3,0.625,7.0,115.89,108.86,7.03,9.74,117.15,107.49,9.65
4,5,2024-25,CLE,E,C,9,0,1.0,12.67,122.7,110.25,12.45,8.87,121.2,112.54,8.66
5,6,2024-25,NYK,E,A,3,4,0.429,2.57,119.31,117.06,2.26,5.26,119.39,114.49,4.9
6,7,2024-25,LAC,W,P,4,4,0.5,1.38,112.01,110.31,1.7,4.36,114.73,110.1,4.63
7,8,2024-25,DAL,W,SW,5,3,0.625,5.38,114.0,108.82,5.18,3.85,114.32,110.58,3.74
8,9,2024-25,PHO,W,P,7,1,0.875,3.63,115.19,111.53,3.66,2.69,114.51,111.68,2.82
9,10,2024-25,DEN,W,NW,5,3,0.625,1.75,115.5,114.02,1.49,2.25,117.92,115.94,1.97
10,11,2024-25,SAC,W,P,5,3,0.625,5.63,117.41,111.58,5.83,1.12,114.4,112.97,1.43
11,12,2024-25,MIN,W,NW,4,3,0.571,2.0,114.77,112.76,2.01,1.18,113.15,111.99,1.16
12,13,2024-25,SAS,W,SW,3,5,0.375,-4.13,107.53,111.66,-4.13,0.85,112.37,111.54,0.84
13,14,2024-25,MIA,E,SE,3,4,0.429,0.57,113.2,112.85,0.35,-0.26,113.91,114.35,-0.44
14,15,2024-25,MEM,W,SW,5,4,0.556,3.78,115.87,112.2,3.68,-0.62,114.43,115.03,-0.6
15,16,2024-25,POR,W,NW,3,5,0.375,-4.88,109.01,113.3,-4.29,-2.87,110.67,113.13,-2.46
16,17,2024-25,ORL,E,SE,3,6,0.333,-3.89,106.21,109.87,-3.66,-2.92,105.96,108.73,-2.78
17,18,2024-25,DET,E,C,3,6,0.333,-3.0,109.35,112.21,-2.86,-2.85,107.03,109.87,-2.85
18,19,2024-25,BRK,E,A,4,4,0.5,-0.25,114.22,114.5,-0.28,-3.15,113.25,116.32,-3.07
19,20,2024-25,LAL,W,P,4,4,0.5,-4.13,114.45,118.38,-3.93,-3.33,114.66,117.76,-3.11
20,21,2024-25,IND,E,C,4,4,0.5,-2.13,116.2,118.47,-2.26,-2.87,117.05,120.18,-3.13
21,22,2024-25,CHO,E,SE,3,5,0.375,-6.0,112.07,118.29,-6.21,-3.74,112.65,116.6,-3.95
22,23,2024-25,ATL,E,SE,4,5,0.444,-5.33,113.53,118.5,-4.97,-4.61,114.11,118.4,-4.29
23,24,2024-25,WAS,E,SE,2,4,0.333,-9.5,109.15,118.42,-9.27,-5.36,109.25,114.37,-5.12
24,25,2024-25,MIL,E,C,1,6,0.143,-6.57,110.92,117.25,-6.33,-5.66,109.71,115.16,-5.44
25,26,2024-25,TOR,E,A,2,7,0.222,-6.67,114.44,121.19,-6.75,-6.73,112.77,119.63,-6.87
26,27,2024-25,NOP,W,SW,3,6,0.333,-8.44,111.18,120.27,-9.09,-6.9,111.39,118.82,-7.43
27,28,2024-25,CHI,E,C,3,5,0.375,-6.38,107.77,113.69,-5.92,-8.16,108.93,116.64,-7.71
28,29,2024-25,PHI,E,A,1,6,0.143,-8.57,109.29,118.25,-8.96,-10.24,108.15,118.74,-10.59
29,30,2024-25,UTA,W,NW,1,6,0.143,-14.71,103.13,117.51,-14.38,-12.72,103.88,116.26,-12.38
